Time,Source_mode,Source_711-083,Source_711-084,Name_mode,Name_710-131,Name_710-132,Name_710-135,Name_710-170,Name_711-083,Name_711-084,Type_mode,Type_PDO,Type_TRAIN_DRIVER,Type_WARNING,Complete_code_mode,Complete_code_2-19-1,Complete_code_2-19-2,Complete_code_5-1-1,Complete_code_5-1-2,Complete_code_5-10-1,Complete_code_5-10-2,Complete_code_5-11-1,Complete_code_5-11-10,Complete_code_5-11-11,Complete_code_5-11-2,Complete_code_5-11-3,Complete_code_5-11-4,Complete_code_5-11-5,Complete_code_5-11-6,Complete_code_5-11-7,Complete_code_5-11-8,Complete_code_5-11-9,Complete_code_5-12-1,Complete_code_5-13-1,Complete_code_5-13-2,Complete_code_5-13-3,Complete_code_5-13-4,Complete_code_5-14-1,Complete_code_5-15-1,Complete_code_5-16-1,Complete_code_5-16-2,Complete_code_5-17,Complete_code_5-3-1,Complete_code_5-3-10,Complete_code_5-3-11,Complete_code_5-3-12,Complete_code_5-3-13,Complete_code_5-3-14,Complete_code_5-3-15,Complete_code_5-3-16,Complete_code_5-3-17,Complete_code_5-3-18,Complete_code_5-3-19,Complete_code_5-3-2,Complete_code_5-3-20,Complete_code_5-3-21,Complete_code_5-3-22,Complete_code_5-3-23,Complete_code_5-3-24,Complete_code_5-3-25,Complete_code_5-3-26,Complete_code_5-3-27,Complete_code_5-3-28,Complete_code_5-3-29,Complete_code_5-3-3,Complete_code_5-3-30,Complete_code_5-3-31,Complete_code_5-3-32,Complete_code_5-3-4,Complete_code_5-3-5,Complete_code_5-3-6,Complete_code_5-3-7,Complete_code_5-3-8,Complete_code_5-3-9,Complete_code_5-3-99,Complete_code_5-31-1,Complete_code_5-31-10,Complete_code_5-31-11,Complete_code_5-31-12,Complete_code_5-31-13,Complete_code_5-31-14,Complete_code_5-31-15,Complete_code_5-31-16,Complete_code_5-31-2,Complete_code_5-31-3,Complete_code_5-31-4,Complete_code_5-31-5,Complete_code_5-31-6,Complete_code_5-31-7,Complete_code_5-31-8,Complete_code_5-31-9,Complete_code_5-32-1,Complete_code_5-32-10,Complete_code_5-32-11,Complete_code_5-32-12,Complete_code_5-32-13,Complete_code_5-32-14,Complete_code_5-32-15,Complete_code_5-32-16,Complete_code_5-32-2,Complete_code_5-32-3,Complete_code_5-32-4,Complete_code_5-32-5,Complete_code_5-32-6,Complete_code_5-32-7,Complete_code_5-32-8,Complete_code_5-32-9,Complete_code_5-33-1,Complete_code_5-33-10,Complete_code_5-33-11,Complete_code_5-33-12,Complete_code_5-33-13,Complete_code_5-33-14,Complete_code_5-33-15,Complete_code_5-33-16,Complete_code_5-33-2,Complete_code_5-33-3,Complete_code_5-33-4,Complete_code_5-33-5,Complete_code_5-33-6,Complete_code_5-33-7,Complete_code_5-33-8,Complete_code_5-33-9,Complete_code_5-34-1,Complete_code_5-34-10,Complete_code_5-34-11,Complete_code_5-34-12,Complete_code_5-34-13,Complete_code_5-34-14,Complete_code_5-34-15,Complete_code_5-34-16,Complete_code_5-34-2,Complete_code_5-34-3,Complete_code_5-34-4,Complete_code_5-34-5,Complete_code_5-34-6,Complete_code_5-34-7,Complete_code_5-34-8,Complete_code_5-34-9,Complete_code_5-34-99,Complete_code_5-35-1,Complete_code_5-35-10,Complete_code_5-35-11,Complete_code_5-35-12,Complete_code_5-35-13,Complete_code_5-35-14,Complete_code_5-35-15,Complete_code_5-35-16,Complete_code_5-35-2,Complete_code_5-35-3,Complete_code_5-35-4,Complete_code_5-35-5,Complete_code_5-35-6,Complete_code_5-35-7,Complete_code_5-35-8,Complete_code_5-35-9,Complete_code_5-35-99,Complete_code_5-36-1,Complete_code_5-36-10,Complete_code_5-36-11,Complete_code_5-36-12,Complete_code_5-36-13,Complete_code_5-36-14,Complete_code_5-36-15,Complete_code_5-36-16,Complete_code_5-36-2,Complete_code_5-36-4,Complete_code_5-36-5,Complete_code_5-36-6,Complete_code_5-36-7,Complete_code_5-36-8,Complete_code_5-36-9,Complete_code_5-36-99,Complete_code_5-5-1,Complete_code_5-5-2,Complete_code_5-5-3,Complete_code_5-5-4,Complete_code_5-5-5,Complete_code_5-5-99,Complete_code_5-7-1,Complete_code_5-7-2,Complete_code_5-7-3,Complete_code_5-7-99,Complete_code_5-9-1,Complete_code_5-9-2,Complete_code_5-9-3,Complete_code_5-9-4,Complete_code_5-9-5,Complete_code_5-9-6,Complete_code_5-9-99,Complete_code_5-90-1,Complete_code_5-90-2,Complete_code_5-90-5,Complete_code_5-90-6,Complete_code_5-90-7,Complete_code_5-98-1,Complete_code_5-98-10,Complete_code_5-98-11,Complete_code_5-98-12,Complete_code_5-98-13,Complete_code_5-98-14,Complete_code_5-98-15,Complete_code_5-98-16,Complete_code_5-98-17,Complete_code_5-98-18,Complete_code_5-98-19,Complete_code_5-98-2,Complete_code_5-98-20,Complete_code_5-98-24,Complete_code_5-98-25,Complete_code_5-98-26,Complete_code_5-98-27,Complete_code_5-98-28,Complete_code_5-98-29,Complete_code_5-98-3,Complete_code_5-98-30,Complete_code_5-98-31,Complete_code_5-98-32,Complete_code_5-98-33,Complete_code_5-98-7,Complete_code_5-98-8,Complete_code_5-98-9,Complete_code_5-99-10,Complete_code_5-99-11,Complete_code_5-99-12,Complete_code_5-99-13,Complete_code_5-99-14,Complete_code_5-99-5,Complete_code_5-99-6,Complete_code_5-99-7,Complete_code_5-99-8,Complete_code_5-99-9,Complete_code_5-36-3,Complete_code_5-90-4,Complete_code_5-90-3,Master_mode,Master_711-083,Master_711-084,Master_Master Assente,Speed_mean,Criticality_mode,Criticality_ratio,Criticality_0,Criticality_1,Colour_mode,Colour_azzurro,Colour_giallo,Season,Services,Total_KM,R4_progr_count,RD_progr_count,RP_progr_count,RT_progr_count,VI_progr_count,VIS_progr_count,Sched_maint_progr,Corr_maint_progr
2020-11-12,711-084,36,101,710-132,0,42,21,31,15,28,PDO,135,2,0,5-98-17,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,0,1,2,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,34,2,2,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,711-084,6,57,74,40.18978102189781,0,0.0364963503649635,132,5,azzurro,74,63,Autumn,17,324.29999999999995,1,0,1,0,2,1,5,6
2020-11-13,711-084,69,77,711-083,0,19,19,20,50,38,PDO,146,0,0,5-98-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,22,4,0,2,0,7,19,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Master Assente,22,84,40,15.732876712328768,0,0.0,146,0,azzurro,119,27,Autumn,18,338.4,1,0,1,0,2,1,5,6
2020-11-14,711-084,22,78,711-084,3,19,9,25,10,34,PDO,95,3,2,5-98-30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Master Assente,0,56,44,28.31,0,0.0,100,0,azzurro,79,21,Autumn,17,404.6,1,0,1,0,2,1,5,6
2020-11-15,711-084,12,235,711-084,2,68,2,75,8,92,PDO,225,11,11,5-98-10,13,7,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,2,1,3,0,1,11,0,5,5,5,2,0,0,0,0,0,0,0,1,1,4,4,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,2,3,2,1,1,2,2,1,2,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7,2,2,2,2,1,2,2,2,0,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,2,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,5,5,3,2,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,4,Master Assente,5,133,109,25.55060728744939,0,0.17408906882591094,204,43,azzurro,168,79,Autumn,16,402.8,1,0,1,0,2,1,5,6
2020-11-16,711-084,22,266,710-132,5,97,9,76,8,93,PDO,265,15,8,5-98-10,5,8,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,4,7,1,0,15,7,5,4,3,1,0,0,1,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,2,3,4,4,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,3,3,3,4,6,2,2,1,2,1,2,1,2,3,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,3,0,3,1,1,0,0,0,0,0,0,5,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,4,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,24,5,3,5,2,0,0,2,1,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,2,2,0,2,1,1,1,0,0,0,0,0,Master Assente,1,209,78,18.95138888888889,0,0.09722222222222222,260,28,azzurro,212,76,Autumn,17,381.1,1,0,1,0,2,1,5,6
2020-11-18,711-084,51,98,711-084,0,18,33,27,18,53,PDO,149,0,0,5-5-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,1,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,10,10,10,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,9,4,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,711-084,25,60,64,23.469798657718123,0,0.06711409395973154,139,10,azzurro,80,69,Autumn,13,213.1,1,0,1,0,2,1,5,6
2020-11-19,711-083,134,97,711-083,0,22,47,29,87,46,PDO,229,0,2,5-9-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,0,11,1,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,2,2,2,0,0,0,0,36,5,6,0,0,8,31,0,0,0,0,0,0,0,0,27,1,1,0,0,0,0,18,6,5,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Master Assente,56,114,61,20.25974025974026,0,0.025974025974025976,225,6,azzurro,167,64,Autumn,13,213.0,1,0,1,0,2,1,5,6
2020-11-20,711-083,65,49,711-083,0,3,21,15,44,31,PDO,114,0,0,5-9-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,2,0,0,19,0,0,2,0,8,16,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Master Assente,37,57,20,21.36842105263158,0,0.0,114,0,azzurro,93,21,Autumn,14,253.0,1,0,1,0,2,1,5,6
2020-11-21,711-084,85,92,711-083,0,11,7,54,78,27,PDO,177,0,0,5-9-99,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,18,15,0,0,29,2,1,1,0,18,29,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Master Assente,22,102,53,26.728813559322035,0,0.022598870056497175,173,4,azzurro,156,21,Autumn,15,527.3000000000001,1,0,1,0,2,1,5,6
2020-11-23,711-083,124,61,711-083,0,2,11,17,113,42,PDO,184,0,1,5-9-1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,0,0,64,5,0,2,0,6,31,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,711-083,78,77,30,9.194594594594594,0,0.0,185,0,azzurro,173,12,Autumn,17,411.0,1,0,1,0,2,1,5,6
