Time,Source_mode,Source_711-083,Source_711-084,Name_mode,Name_710-131,Name_710-132,Name_710-135,Name_710-170,Name_711-083,Name_711-084,Type_mode,Type_PDM,Type_TRAIN_DRIVER,Type_WARNING,Complete_code_mode,Complete_code_2-19,Complete_code_5-1,Complete_code_5-10,Complete_code_5-11,Complete_code_5-12,Complete_code_5-13,Complete_code_5-14,Complete_code_5-15,Complete_code_5-16,Complete_code_5-17,Complete_code_5-20,Complete_code_5-21,Complete_code_5-3,Complete_code_5-31,Complete_code_5-32,Complete_code_5-33,Complete_code_5-34,Complete_code_5-35,Complete_code_5-36,Complete_code_5-5,Complete_code_5-7,Complete_code_5-9,Complete_code_5-90,Complete_code_5-98,Complete_code_5-99,Master_mode,Master_711-083,Master_Master Assente,Master_711-084,Speed_mean,Criticality_mode,Criticality_ratio,Criticality_0,Criticality_1,Colour_mode,Colour_azzurro,Colour_giallo,Season,Services,Total_KM,R4_progr_count,RD_progr_count,RP_progr_count,RT_progr_count,VI_progr_count,VIS_progr_count,Sched_maint_progr,Corr_maint_progr
2020-11-12,711-084,36,101,710-132,0,42,21,31,15,28,PDM,135,2,0,5-98,1,0,0,3,0,0,0,0,1,2,0,0,25,0,0,0,0,10,0,33,2,4,0,55,1,711-084,6,57,74,40.18978102189781,0,0.4306569343065693,78,59,azzurro,74,63,Autumn,17,324.29999999999995,1,0,1,0,2,1,5,6
2020-11-13,711-084,69,77,711-083,0,19,19,20,50,38,PDM,146,0,0,5-9,0,0,0,0,0,2,0,0,1,0,0,0,6,6,0,5,0,0,0,20,0,54,0,50,2,Master Assente,22,84,40,15.732876712328768,0,0.1780821917808219,120,26,azzurro,119,27,Autumn,18,338.4,1,0,1,0,2,1,5,6
2020-11-14,711-084,22,78,711-084,3,19,9,25,10,34,PDM,95,3,2,5-98,0,0,0,2,0,0,0,0,0,3,1,1,17,12,5,3,4,6,3,2,0,0,0,39,2,Master Assente,0,56,44,28.31,0,0.19,81,19,azzurro,79,21,Autumn,17,404.6,1,0,1,0,2,1,5,6
2020-11-15,711-084,12,235,711-084,2,68,2,75,8,92,PDM,225,11,11,5-98,20,4,6,1,1,7,1,3,1,11,5,5,35,24,2,32,0,28,6,8,0,1,0,38,8,Master Assente,5,133,109,25.55060728744939,0,0.3117408906882591,170,77,azzurro,168,79,Autumn,16,402.8,1,0,1,0,2,1,5,6
2020-11-16,711-084,22,266,710-132,5,97,9,76,8,93,PDM,265,15,8,5-98,13,8,2,1,0,18,4,7,1,15,5,3,31,27,4,39,8,17,5,9,9,6,0,51,5,Master Assente,1,209,78,18.95138888888889,0,0.2569444444444444,214,74,azzurro,212,76,Autumn,17,381.1,1,0,1,0,2,1,5,6
2020-11-18,711-084,51,98,711-084,0,18,33,27,18,53,PDM,149,0,0,5-5,0,1,0,1,0,1,0,0,0,0,0,0,12,1,0,3,6,13,0,55,3,6,0,46,1,711-084,25,60,64,23.469798657718123,0,0.4563758389261745,81,68,azzurro,80,69,Autumn,13,213.1,1,0,1,0,2,1,5,6
2020-11-19,711-083,134,97,711-083,0,22,47,29,87,46,PDM,229,0,2,5-9,0,0,0,1,0,7,1,0,1,0,1,1,24,0,0,0,0,4,0,37,0,86,0,67,1,Master Assente,56,114,61,20.25974025974026,0,0.2683982683982684,169,62,azzurro,167,64,Autumn,13,213.0,1,0,1,0,2,1,5,6
2020-11-20,711-083,65,49,711-083,0,3,21,15,44,31,PDM,114,0,0,5-9,0,0,0,1,0,0,0,0,1,0,0,0,2,0,4,5,0,0,0,17,4,45,0,34,1,Master Assente,37,57,20,21.36842105263158,0,0.16666666666666666,95,19,azzurro,93,21,Autumn,14,253.0,1,0,1,0,2,1,5,6
2020-11-21,711-084,85,92,711-083,0,11,7,54,78,27,PDM,177,0,0,5-9,1,0,2,0,0,5,0,0,1,0,0,0,4,0,0,6,1,2,0,13,33,80,0,29,0,Master Assente,22,102,53,26.728813559322035,0,0.11299435028248588,157,20,azzurro,156,21,Autumn,15,527.3000000000001,1,0,1,0,2,1,5,6
2020-11-23,711-083,124,61,711-083,0,2,11,17,113,42,PDM,184,0,1,5-9,0,0,0,4,0,12,0,0,0,0,0,1,1,0,0,6,0,9,0,7,4,108,0,32,1,711-083,78,77,30,9.194594594594594,0,0.043243243243243246,177,8,azzurro,173,12,Autumn,17,411.0,1,0,1,0,2,1,5,6
